file_name,d1p,d1v,d2p,d2v,d3p,d3v,file_name_with_attributes
ToyTrain/test/section_05_0000.wav,car,H1,speed,8,noise,6,ToyTrain/test/section_05_source_test_normal_0040_car_H1_spd_8_mic_1_noise_6.wav
ToyTrain/test/section_05_0001.wav,car,F2,speed,8,noise,6,ToyTrain/test/section_05_source_test_normal_0014_car_F2_spd_8_mic_1_noise_6.wav
ToyTrain/test/section_05_0002.wav,car,F2,speed,9,noise,6,ToyTrain/test/section_05_source_test_anomaly_0010_car_F2_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0003.wav,car,F2,speed,9,noise,6,ToyTrain/test/section_05_source_test_anomaly_0009_car_F2_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0004.wav,car,G1,speed,6,noise,7,ToyTrain/test/section_05_target_test_normal_0003_car_G1_spd_6_mic_1_noise_7.wav
ToyTrain/test/section_05_0005.wav,car,G2,speed,10,noise,7,ToyTrain/test/section_05_target_test_anomaly_0026_car_G2_spd_10_mic_1_noise_7.wav
ToyTrain/test/section_05_0006.wav,car,F2,speed,8,noise,6,ToyTrain/test/section_05_source_test_normal_0013_car_F2_spd_8_mic_1_noise_6.wav
ToyTrain/test/section_05_0007.wav,car,F2,speed,9,noise,6,ToyTrain/test/section_05_source_test_anomaly_0022_car_F2_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0008.wav,car,H2,speed,9,noise,6,ToyTrain/test/section_05_source_test_normal_0049_car_H2_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0009.wav,car,G1,speed,6,noise,7,ToyTrain/test/section_05_target_test_normal_0004_car_G1_spd_6_mic_1_noise_7.wav
ToyTrain/test/section_05_0010.wav,car,G2,speed,10,noise,7,ToyTrain/test/section_05_target_test_anomaly_0030_car_G2_spd_10_mic_1_noise_7.wav
ToyTrain/test/section_05_0011.wav,car,G1,speed,6,noise,7,ToyTrain/test/section_05_target_test_anomaly_0019_car_G1_spd_6_mic_1_noise_7.wav
ToyTrain/test/section_05_0012.wav,car,G1,speed,6,noise,7,ToyTrain/test/section_05_target_test_anomaly_0017_car_G1_spd_6_mic_1_noise_7.wav
ToyTrain/test/section_05_0013.wav,car,G1,speed,10,noise,7,ToyTrain/test/section_05_target_test_normal_0035_car_G1_spd_10_mic_1_noise_7.wav
ToyTrain/test/section_05_0014.wav,car,G2,speed,6,noise,7,ToyTrain/test/section_05_target_test_normal_0016_car_G2_spd_6_mic_1_noise_7.wav
ToyTrain/test/section_05_0015.wav,car,F2,speed,9,noise,6,ToyTrain/test/section_05_source_test_anomaly_0023_car_F2_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0016.wav,car,F1,speed,9,noise,6,ToyTrain/test/section_05_source_test_normal_0008_car_F1_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0017.wav,car,F2,speed,8,noise,6,ToyTrain/test/section_05_source_test_normal_0012_car_F2_spd_8_mic_1_noise_6.wav
ToyTrain/test/section_05_0018.wav,car,H1,speed,9,noise,6,ToyTrain/test/section_05_source_test_anomaly_0029_car_H1_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0019.wav,car,H1,speed,9,noise,6,ToyTrain/test/section_05_source_test_anomaly_0039_car_H1_spd_9_mic_1_noise_6.wav
ToyTrain/test/section_05_0020.wav,car,H1,speed,8,noise,6,ToyTrain/test/section_05_source_test_normal_0038_car_H1_spd_8_mic_1_noise_6.wav
ToyTrain/test/section_05_0021.wav,car,H2,speed,8,noise,6,ToyTrain/test/section_05_source_test_anomaly_0045_car_H2_spd_8_mic_1_noise_6.wav
ToyTrain/test/section_05_0022.wav,car,G1,speed,10,noise,7,ToyTrain/test/section_05_target_test_normal_0029_car_G1_spd_10_mic_1_noise_7.wav
