file_name,d1p,d1v,file_name_with_full_attributes
gearbox/test/section_04_0000.wav,wt,250,gearbox/test/section_04_target_test_anomaly_0000_wt_250.wav
gearbox/test/section_04_0001.wav,wt,170,gearbox/test/section_04_target_test_normal_0001_wt_170.wav
gearbox/test/section_04_0002.wav,wt,50,gearbox/test/section_04_source_test_anomaly_0002_wt_50.wav
gearbox/test/section_04_0003.wav,wt,170,gearbox/test/section_04_target_test_anomaly_0003_wt_170.wav
gearbox/test/section_04_0004.wav,wt,170,gearbox/test/section_04_target_test_normal_0004_wt_170.wav
gearbox/test/section_04_0005.wav,wt,250,gearbox/test/section_04_target_test_anomaly_0005_wt_250.wav
gearbox/test/section_04_0006.wav,wt,70,gearbox/test/section_04_target_test_normal_0006_wt_70.wav
gearbox/test/section_04_0007.wav,wt,100,gearbox/test/section_04_source_test_normal_0007_wt_100.wav
gearbox/test/section_04_0008.wav,wt,220,gearbox/test/section_04_target_test_anomaly_0008_wt_220.wav
gearbox/test/section_04_0009.wav,wt,170,gearbox/test/section_04_target_test_normal_0009_wt_170.wav
gearbox/test/section_04_0010.wav,wt,170,gearbox/test/section_04_target_test_anomaly_0010_wt_170.wav
gearbox/test/section_04_0011.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0011_wt_20.wav
gearbox/test/section_04_0012.wav,wt,70,gearbox/test/section_04_target_test_anomaly_0012_wt_70.wav
gearbox/test/section_04_0013.wav,wt,150,gearbox/test/section_04_source_test_anomaly_0013_wt_150.wav
gearbox/test/section_04_0014.wav,wt,120,gearbox/test/section_04_target_test_anomaly_0014_wt_120.wav
gearbox/test/section_04_0015.wav,wt,70,gearbox/test/section_04_target_test_normal_0015_wt_70.wav
gearbox/test/section_04_0016.wav,wt,150,gearbox/test/section_04_source_test_anomaly_0016_wt_150.wav
gearbox/test/section_04_0017.wav,wt,120,gearbox/test/section_04_target_test_anomaly_0017_wt_120.wav
gearbox/test/section_04_0018.wav,wt,150,gearbox/test/section_04_source_test_anomaly_0018_wt_150.wav
gearbox/test/section_04_0019.wav,wt,20,gearbox/test/section_04_target_test_normal_0019_wt_20.wav
gearbox/test/section_04_0020.wav,wt,70,gearbox/test/section_04_target_test_anomaly_0020_wt_70.wav
gearbox/test/section_04_0021.wav,wt,220,gearbox/test/section_04_target_test_normal_0021_wt_220.wav
gearbox/test/section_04_0022.wav,wt,170,gearbox/test/section_04_target_test_anomaly_0022_wt_170.wav
gearbox/test/section_04_0023.wav,wt,150,gearbox/test/section_04_source_test_normal_0023_wt_150.wav
gearbox/test/section_04_0024.wav,wt,0,gearbox/test/section_04_source_test_anomaly_0024_wt_0.wav
gearbox/test/section_04_0025.wav,wt,200,gearbox/test/section_04_source_test_normal_0025_wt_200.wav
gearbox/test/section_04_0026.wav,wt,50,gearbox/test/section_04_source_test_normal_0026_wt_50.wav
gearbox/test/section_04_0027.wav,wt,70,gearbox/test/section_04_target_test_anomaly_0027_wt_70.wav
gearbox/test/section_04_0028.wav,wt,250,gearbox/test/section_04_target_test_normal_0028_wt_250.wav
gearbox/test/section_04_0029.wav,wt,50,gearbox/test/section_04_source_test_anomaly_0029_wt_50.wav
gearbox/test/section_04_0030.wav,wt,0,gearbox/test/section_04_source_test_anomaly_0030_wt_0.wav
gearbox/test/section_04_0031.wav,wt,170,gearbox/test/section_04_target_test_anomaly_0031_wt_170.wav
gearbox/test/section_04_0032.wav,wt,150,gearbox/test/section_04_source_test_anomaly_0032_wt_150.wav
gearbox/test/section_04_0033.wav,wt,50,gearbox/test/section_04_source_test_anomaly_0033_wt_50.wav
gearbox/test/section_04_0034.wav,wt,200,gearbox/test/section_04_source_test_anomaly_0034_wt_200.wav
gearbox/test/section_04_0035.wav,wt,50,gearbox/test/section_04_source_test_anomaly_0035_wt_50.wav
gearbox/test/section_04_0036.wav,wt,70,gearbox/test/section_04_target_test_normal_0036_wt_70.wav
gearbox/test/section_04_0037.wav,wt,170,gearbox/test/section_04_target_test_normal_0037_wt_170.wav
gearbox/test/section_04_0038.wav,wt,220,gearbox/test/section_04_target_test_anomaly_0038_wt_220.wav
gearbox/test/section_04_0039.wav,wt,150,gearbox/test/section_04_source_test_anomaly_0039_wt_150.wav
gearbox/test/section_04_0040.wav,wt,20,gearbox/test/section_04_target_test_normal_0040_wt_20.wav
gearbox/test/section_04_0041.wav,wt,0,gearbox/test/section_04_source_test_normal_0041_wt_0.wav
gearbox/test/section_04_0042.wav,wt,70,gearbox/test/section_04_target_test_anomaly_0042_wt_70.wav
gearbox/test/section_04_0043.wav,wt,100,gearbox/test/section_04_source_test_normal_0043_wt_100.wav
gearbox/test/section_04_0044.wav,wt,170,gearbox/test/section_04_target_test_anomaly_0044_wt_170.wav
gearbox/test/section_04_0045.wav,wt,0,gearbox/test/section_04_source_test_anomaly_0045_wt_0.wav
gearbox/test/section_04_0046.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0046_wt_20.wav
gearbox/test/section_04_0047.wav,wt,100,gearbox/test/section_04_source_test_anomaly_0047_wt_100.wav
gearbox/test/section_04_0048.wav,wt,200,gearbox/test/section_04_source_test_normal_0048_wt_200.wav
gearbox/test/section_04_0049.wav,wt,100,gearbox/test/section_04_source_test_anomaly_0049_wt_100.wav
gearbox/test/section_04_0050.wav,wt,200,gearbox/test/section_04_source_test_normal_0050_wt_200.wav
gearbox/test/section_04_0051.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0051_wt_20.wav
gearbox/test/section_04_0052.wav,wt,0,gearbox/test/section_04_source_test_anomaly_0052_wt_0.wav
gearbox/test/section_04_0053.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0053_wt_20.wav
gearbox/test/section_04_0054.wav,wt,0,gearbox/test/section_04_source_test_normal_0054_wt_0.wav
gearbox/test/section_04_0055.wav,wt,100,gearbox/test/section_04_source_test_anomaly_0055_wt_100.wav
gearbox/test/section_04_0056.wav,wt,220,gearbox/test/section_04_target_test_normal_0056_wt_220.wav
gearbox/test/section_04_0057.wav,wt,200,gearbox/test/section_04_source_test_anomaly_0057_wt_200.wav
gearbox/test/section_04_0058.wav,wt,250,gearbox/test/section_04_target_test_normal_0058_wt_250.wav
gearbox/test/section_04_0059.wav,wt,220,gearbox/test/section_04_target_test_anomaly_0059_wt_220.wav
gearbox/test/section_04_0060.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0060_wt_20.wav
gearbox/test/section_04_0061.wav,wt,100,gearbox/test/section_04_source_test_normal_0061_wt_100.wav
gearbox/test/section_04_0062.wav,wt,220,gearbox/test/section_04_target_test_normal_0062_wt_220.wav
gearbox/test/section_04_0063.wav,wt,150,gearbox/test/section_04_source_test_normal_0063_wt_150.wav
gearbox/test/section_04_0064.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0064_wt_20.wav
gearbox/test/section_04_0065.wav,wt,150,gearbox/test/section_04_source_test_anomaly_0065_wt_150.wav
gearbox/test/section_04_0066.wav,wt,120,gearbox/test/section_04_target_test_normal_0066_wt_120.wav
gearbox/test/section_04_0067.wav,wt,0,gearbox/test/section_04_source_test_anomaly_0067_wt_0.wav
gearbox/test/section_04_0068.wav,wt,220,gearbox/test/section_04_target_test_anomaly_0068_wt_220.wav
gearbox/test/section_04_0069.wav,wt,70,gearbox/test/section_04_target_test_normal_0069_wt_70.wav
gearbox/test/section_04_0070.wav,wt,0,gearbox/test/section_04_source_test_normal_0070_wt_0.wav
gearbox/test/section_04_0071.wav,wt,120,gearbox/test/section_04_target_test_anomaly_0071_wt_120.wav
gearbox/test/section_04_0072.wav,wt,20,gearbox/test/section_04_target_test_normal_0072_wt_20.wav
gearbox/test/section_04_0073.wav,wt,220,gearbox/test/section_04_target_test_anomaly_0073_wt_220.wav
gearbox/test/section_04_0074.wav,wt,0,gearbox/test/section_04_source_test_anomaly_0074_wt_0.wav
gearbox/test/section_04_0075.wav,wt,50,gearbox/test/section_04_source_test_normal_0075_wt_50.wav
gearbox/test/section_04_0076.wav,wt,200,gearbox/test/section_04_source_test_anomaly_0076_wt_200.wav
gearbox/test/section_04_0077.wav,wt,170,gearbox/test/section_04_target_test_anomaly_0077_wt_170.wav
gearbox/test/section_04_0078.wav,wt,220,gearbox/test/section_04_target_test_anomaly_0078_wt_220.wav
gearbox/test/section_04_0079.wav,wt,0,gearbox/test/section_04_source_test_normal_0079_wt_0.wav
gearbox/test/section_04_0080.wav,wt,120,gearbox/test/section_04_target_test_normal_0080_wt_120.wav
gearbox/test/section_04_0081.wav,wt,250,gearbox/test/section_04_target_test_normal_0081_wt_250.wav
gearbox/test/section_04_0082.wav,wt,250,gearbox/test/section_04_target_test_normal_0082_wt_250.wav
gearbox/test/section_04_0083.wav,wt,50,gearbox/test/section_04_source_test_anomaly_0083_wt_50.wav
gearbox/test/section_04_0084.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0084_wt_20.wav
gearbox/test/section_04_0085.wav,wt,20,gearbox/test/section_04_target_test_anomaly_0085_wt_20.wav
gearbox/test/section_04_0086.wav,wt,150,gearbox/test/section_04_source_test_normal_0086_wt_150.wav
gearbox/test/section_04_0087.wav,wt,70,gearbox/test/section_04_target_test_normal_0087_wt_70.wav
gearbox/test/section_04_0088.wav,wt,220,gearbox/test/section_04_target_test_anomaly_0088_wt_220.wav
gearbox/test/section_04_0089.wav,wt,150,gearbox/test/section_04_source_test_anomaly_0089_wt_150.wav
gearbox/test/section_04_0090.wav,wt,150,gearbox/test/section_04_source_test_normal_0090_wt_150.wav
gearbox/test/section_04_0091.wav,wt,0,gearbox/test/section_04_source_test_normal_0091_wt_0.wav
gearbox/test/section_04_0092.wav,wt,50,gearbox/test/section_04_source_test_normal_0092_wt_50.wav
gearbox/test/section_04_0093.wav,wt,220,gearbox/test/section_04_target_test_normal_0093_wt_220.wav
gearbox/test/section_04_0094.wav,wt,150,gearbox/test/section_04_source_test_normal_0094_wt_150.wav
gearbox/test/section_04_0095.wav,wt,50,gearbox/test/section_04_source_test_anomaly_0095_wt_50.wav
gearbox/test/section_04_0096.wav,wt,70,gearbox/test/section_04_target_test_anomaly_0096_wt_70.wav
gearbox/test/section_04_0097.wav,wt,200,gearbox/test/section_04_source_test_anomaly_0097_wt_200.wav
gearbox/test/section_04_0098.wav,wt,220,gearbox/test/section_04_target_test_normal_0098_wt_220.wav
gearbox/test/section_04_0099.wav,wt,50,gearbox/test/section_04_source_test_anomaly_0099_wt_50.wav
gearbox/test/section_04_0100.wav,wt,50,gearbox/test/section_04_source_test_normal_0100_wt_50.wav
gearbox/test/section_04_0101.wav,wt,100,gearbox/test/section_04_source_test_normal_0101_wt_100.wav
