file_name,d1p,d1v,file_name_with_full_attributes
gearbox/test/section_05_0000.wav,id,07,gearbox/test/section_05_source_test_anomaly_0000_id_07.wav
gearbox/test/section_05_0001.wav,id,01,gearbox/test/section_05_target_test_anomaly_0001_id_01.wav
gearbox/test/section_05_0002.wav,id,04,gearbox/test/section_05_target_test_normal_0002_id_04.wav
gearbox/test/section_05_0003.wav,id,12,gearbox/test/section_05_target_test_anomaly_0003_id_12.wav
gearbox/test/section_05_0004.wav,id,06,gearbox/test/section_05_source_test_normal_0004_id_06.wav
gearbox/test/section_05_0005.wav,id,07,gearbox/test/section_05_source_test_anomaly_0005_id_07.wav
gearbox/test/section_05_0006.wav,id,06,gearbox/test/section_05_source_test_anomaly_0006_id_06.wav
gearbox/test/section_05_0007.wav,id,07,gearbox/test/section_05_source_test_anomaly_0007_id_07.wav
gearbox/test/section_05_0008.wav,id,03,gearbox/test/section_05_source_test_normal_0008_id_03.wav
gearbox/test/section_05_0009.wav,id,01,gearbox/test/section_05_target_test_normal_0009_id_01.wav
gearbox/test/section_05_0010.wav,id,01,gearbox/test/section_05_target_test_normal_0010_id_01.wav
gearbox/test/section_05_0011.wav,id,03,gearbox/test/section_05_source_test_normal_0011_id_03.wav
gearbox/test/section_05_0012.wav,id,01,gearbox/test/section_05_target_test_anomaly_0012_id_01.wav
gearbox/test/section_05_0013.wav,id,01,gearbox/test/section_05_target_test_anomaly_0013_id_01.wav
gearbox/test/section_05_0014.wav,id,06,gearbox/test/section_05_source_test_anomaly_0014_id_06.wav
gearbox/test/section_05_0015.wav,id,03,gearbox/test/section_05_source_test_anomaly_0015_id_03.wav
gearbox/test/section_05_0016.wav,id,07,gearbox/test/section_05_source_test_normal_0016_id_07.wav
gearbox/test/section_05_0017.wav,id,04,gearbox/test/section_05_target_test_normal_0017_id_04.wav
gearbox/test/section_05_0018.wav,id,03,gearbox/test/section_05_source_test_normal_0018_id_03.wav
gearbox/test/section_05_0019.wav,id,03,gearbox/test/section_05_source_test_normal_0019_id_03.wav
