file_name,d1p,d1v,file_name_with_full_attributes
fan/test/section_03_0000.wav,m-n,X,fan/test/section_03_source_test_normal_0000_m-n_X.wav
fan/test/section_03_0001.wav,m-n,W,fan/test/section_03_source_test_normal_0001_m-n_W.wav
fan/test/section_03_0002.wav,m-n,Y,fan/test/section_03_target_test_normal_0002_m-n_Y.wav
fan/test/section_03_0003.wav,m-n,W,fan/test/section_03_source_test_anomaly_0003_m-n_W.wav
fan/test/section_03_0004.wav,m-n,Z,fan/test/section_03_target_test_normal_0004_m-n_Z.wav
fan/test/section_03_0005.wav,m-n,X,fan/test/section_03_source_test_normal_0005_m-n_X.wav
fan/test/section_03_0006.wav,m-n,X,fan/test/section_03_source_test_normal_0006_m-n_X.wav
fan/test/section_03_0007.wav,m-n,Z,fan/test/section_03_target_test_normal_0007_m-n_Z.wav
fan/test/section_03_0008.wav,m-n,W,fan/test/section_03_source_test_normal_0008_m-n_W.wav
fan/test/section_03_0009.wav,m-n,Z,fan/test/section_03_target_test_normal_0009_m-n_Z.wav
fan/test/section_03_0010.wav,m-n,Z,fan/test/section_03_target_test_anomaly_0010_m-n_Z.wav
fan/test/section_03_0011.wav,m-n,W,fan/test/section_03_source_test_anomaly_0011_m-n_W.wav
fan/test/section_03_0012.wav,m-n,W,fan/test/section_03_source_test_anomaly_0012_m-n_W.wav
fan/test/section_03_0013.wav,m-n,X,fan/test/section_03_source_test_anomaly_0013_m-n_X.wav
fan/test/section_03_0014.wav,m-n,Y,fan/test/section_03_target_test_normal_0014_m-n_Y.wav
fan/test/section_03_0015.wav,m-n,X,fan/test/section_03_source_test_anomaly_0015_m-n_X.wav
fan/test/section_03_0016.wav,m-n,Z,fan/test/section_03_target_test_normal_0016_m-n_Z.wav
fan/test/section_03_0017.wav,m-n,W,fan/test/section_03_source_test_anomaly_0017_m-n_W.wav
fan/test/section_03_0018.wav,m-n,X,fan/test/section_03_source_test_anomaly_0018_m-n_X.wav
fan/test/section_03_0019.wav,m-n,Z,fan/test/section_03_target_test_normal_0019_m-n_Z.wav
fan/test/section_03_0020.wav,m-n,Z,fan/test/section_03_target_test_anomaly_0020_m-n_Z.wav
fan/test/section_03_0021.wav,m-n,Y,fan/test/section_03_target_test_anomaly_0021_m-n_Y.wav
fan/test/section_03_0022.wav,m-n,Z,fan/test/section_03_target_test_normal_0022_m-n_Z.wav
fan/test/section_03_0023.wav,m-n,Z,fan/test/section_03_target_test_normal_0023_m-n_Z.wav
fan/test/section_03_0024.wav,m-n,Z,fan/test/section_03_target_test_normal_0024_m-n_Z.wav
fan/test/section_03_0025.wav,m-n,Z,fan/test/section_03_target_test_anomaly_0025_m-n_Z.wav
fan/test/section_03_0026.wav,m-n,W,fan/test/section_03_source_test_anomaly_0026_m-n_W.wav
fan/test/section_03_0027.wav,m-n,Y,fan/test/section_03_target_test_anomaly_0027_m-n_Y.wav
fan/test/section_03_0028.wav,m-n,Y,fan/test/section_03_target_test_anomaly_0028_m-n_Y.wav
fan/test/section_03_0029.wav,m-n,Y,fan/test/section_03_target_test_anomaly_0029_m-n_Y.wav
fan/test/section_03_0030.wav,m-n,W,fan/test/section_03_source_test_normal_0030_m-n_W.wav
fan/test/section_03_0031.wav,m-n,X,fan/test/section_03_source_test_anomaly_0031_m-n_X.wav
fan/test/section_03_0032.wav,m-n,W,fan/test/section_03_source_test_anomaly_0032_m-n_W.wav
fan/test/section_03_0033.wav,m-n,Z,fan/test/section_03_target_test_normal_0033_m-n_Z.wav
fan/test/section_03_0034.wav,m-n,Z,fan/test/section_03_target_test_anomaly_0034_m-n_Z.wav
fan/test/section_03_0035.wav,m-n,Z,fan/test/section_03_target_test_anomaly_0035_m-n_Z.wav
fan/test/section_03_0036.wav,m-n,Y,fan/test/section_03_target_test_normal_0036_m-n_Y.wav
fan/test/section_03_0037.wav,m-n,Z,fan/test/section_03_target_test_anomaly_0037_m-n_Z.wav
fan/test/section_03_0038.wav,m-n,Y,fan/test/section_03_target_test_normal_0038_m-n_Y.wav
fan/test/section_03_0039.wav,m-n,Z,fan/test/section_03_target_test_anomaly_0039_m-n_Z.wav
fan/test/section_03_0040.wav,m-n,W,fan/test/section_03_source_test_anomaly_0040_m-n_W.wav
fan/test/section_03_0041.wav,m-n,Y,fan/test/section_03_target_test_anomaly_0041_m-n_Y.wav
fan/test/section_03_0042.wav,m-n,W,fan/test/section_03_source_test_normal_0042_m-n_W.wav
fan/test/section_03_0043.wav,m-n,X,fan/test/section_03_source_test_normal_0043_m-n_X.wav
fan/test/section_03_0044.wav,m-n,Y,fan/test/section_03_target_test_anomaly_0044_m-n_Y.wav
